year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2019,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.22
2019,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.22
2019,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,494111.22
2019,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,941353.2
2019,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,60533.68
2019,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,386484.19
2019,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,224.11
2019,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,224.11
2020,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,484.57
2020,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,939.69
2020,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,391.57
2020,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,63.28
2020,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.26
2020,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.26
2020,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,484569.64
2020,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,939690.52
2020,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,63284.43
2020,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,391574.6
2020,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,261.84
2020,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,261.84
2021,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,437.4
2021,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,873.5
2021,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,377.55
2021,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,58.32
